product_id,product_name,category,subcategory,unit_price,weight_kg,is_active
PROD_0001,Whiteboard One-To-One Web-Readiness,Alimentos,Doces,261.46,24.97,True
PROD_0002,Extend Efficient Action-Items,Esportes,Corrida,619.22,2.96,True
PROD_0003,Enhance Global Platforms,Brinquedos,Eletrônicos,70.73,3.43,True
PROD_0004,Innovate E-Business Applications,Livros,Técnicos,59.38,27.05,True
PROD_0005,Brand Robust Web-Readiness,Alimentos,Saudáveis,67.55,16.27,True
PROD_0006,Evolve Killer E-Services,Informática,Software,201.32,21.59,True
PROD_0007,Deliver Proactive Schemas,Casa e Decoração,Tapetes,64.17,6.84,True
PROD_0008,Aggregate Next-Generation E-Services,Alimentos,Doces,84.55,5.07,True
PROD_0009,Grow Efficient Synergies,Brinquedos,Eletrônicos,244.02,25.07,True
PROD_0010,Engineer Granular E-Commerce,Livros,Autoajuda,42.48,10.82,True
PROD_0011,Facilitate Efficient Eyeballs,Esportes,Fitness,477.89,13.71,True
PROD_0012,Architect Cross-Platform Platforms,Brinquedos,Veículos,192.43,0.94,True
PROD_0013,Evolve Enterprise Platforms,Brinquedos,Jogos,10.0,11.64,False
PROD_0014,Seize Cross-Media Metrics,Casa e Decoração,Iluminação,48.5,23.14,True
PROD_0015,Morph Revolutionary Bandwidth,Saúde e Beleza,Cabelos,10.0,24.66,True
PROD_0016,Incubate 24/7 Architectures,Livros,Autoajuda,71.09,20.99,True
PROD_0017,Evolve Distributed Functionalities,Moda,Infantil,49.5,20.8,True
PROD_0018,Re-Intermediate Bricks-And-Clicks Networks,Brinquedos,Bonecas,245.14,15.24,True
PROD_0019,Aggregate Innovative Paradigms,Saúde e Beleza,Maquiagem,31.27,16.2,True
PROD_0020,Repurpose Bleeding-Edge Technologies,Moda,Infantil,143.35,22.3,True
PROD_0021,Evolve Bleeding-Edge Platforms,Livros,Infantil,178.15,7.49,True
PROD_0022,Synergize Efficient Bandwidth,Eletrônicos,Acessórios,122.56,7.02,True
PROD_0023,Whiteboard Bricks-And-Clicks Communities,Informática,Redes,353.59,28.5,False
PROD_0024,Disintermediate Synergistic E-Tailers,Saúde e Beleza,Vitaminas,1077.01,0.93,True
PROD_0025,Repurpose Real-Time Methodologies,Automotivo,Ferramentas,102.96,4.27,True
PROD_0026,Visualize Intuitive Metrics,Eletrônicos,Câmeras,146.38,17.15,True
PROD_0027,Whiteboard Frictionless Users,Informática,Notebooks,31.3,22.16,True
PROD_0028,Drive Interactive Communities,Casa e Decoração,Tapetes,26.48,16.18,True
PROD_0029,Target Enterprise Niches,Alimentos,Importados,311.25,10.72,True
PROD_0030,Re-Contextualize Magnetic Methodologies,Esportes,Natação,265.56,29.34,False
PROD_0031,Harness Leading-Edge E-Services,Automotivo,Peças,26.17,21.15,True
PROD_0032,Transition Robust Vortals,Casa e Decoração,Quadros,18.73,24.96,True
PROD_0033,Strategize Real-Time Partnerships,Livros,Ficção,41.33,1.3,False
PROD_0034,Architect Turn-Key E-Tailers,Casa e Decoração,Quadros,75.97,7.15,True
PROD_0035,Visualize Rich Interfaces,Alimentos,Orgânicos,55.09,11.29,True
PROD_0036,Matrix Ubiquitous Eyeballs,Livros,Técnicos,109.14,5.56,True
PROD_0037,Morph Global Action-Items,Automotivo,Som,270.55,2.28,True
PROD_0038,Extend Back-End Applications,Alimentos,Doces,156.73,6.83,True
PROD_0039,Brand Wireless Relationships,Moda,Calçados,171.29,16.06,True
PROD_0040,Enhance Global Mindshare,Esportes,Ciclismo,10.0,20.9,False
PROD_0041,Synthesize E-Business Markets,Automotivo,Acessórios,12.98,23.24,True
PROD_0042,Cultivate One-To-One Eyeballs,Moda,Acessórios,34.61,1.38,True
PROD_0043,Whiteboard Granular Methodologies,Informática,Software,42.2,12.9,True
PROD_0044,Brand Innovative Architectures,Automotivo,Ferramentas,246.61,3.75,True
PROD_0045,Synergize Plug-And-Play Deliverables,Informática,Periféricos,31.35,12.99,True
PROD_0046,Morph Value-Added Methodologies,Livros,Acadêmicos,200.4,13.08,True
PROD_0047,Drive One-To-One Methodologies,Moda,Roupas Femininas,35.09,15.0,True
PROD_0048,Matrix Real-Time Experiences,Esportes,Fitness,21.3,26.8,True
PROD_0049,Facilitate One-To-One Technologies,Alimentos,Orgânicos,22.53,24.17,False
PROD_0050,Brand Granular Bandwidth,Brinquedos,Veículos,1352.78,19.14,False
PROD_0051,Implement Back-End Mindshare,Casa e Decoração,Tapetes,34.16,26.57,True
PROD_0052,Engineer Virtual Mindshare,Eletrônicos,TVs,206.27,20.39,True
PROD_0053,Redefine Sticky Functionalities,Esportes,Corrida,13.88,24.58,True
PROD_0054,Monetize 24/365 Eyeballs,Moda,Roupas Masculinas,494.09,16.96,True
PROD_0055,Disintermediate Granular Users,Brinquedos,Eletrônicos,136.85,15.8,False
PROD_0056,Revolutionize Clicks-And-Mortar Metrics,Esportes,Ciclismo,125.06,21.75,True
PROD_0057,Harness Holistic Web-Readiness,Moda,Calçados,147.91,0.69,True
PROD_0058,Embrace Bricks-And-Clicks Content,Saúde e Beleza,Cabelos,168.81,20.74,True
PROD_0059,Incentivize Leading-Edge Action-Items,Saúde e Beleza,Maquiagem,237.67,28.04,True
PROD_0060,Matrix Strategic Infrastructures,Informática,Componentes,43.86,21.45,True
PROD_0061,Drive Holistic Partnerships,Esportes,Natação,40.89,1.2,True
PROD_0062,Engineer End-To-End Channels,Saúde e Beleza,Maquiagem,95.49,11.4,False
PROD_0063,Repurpose Collaborative Schemas,Moda,Roupas Femininas,204.65,24.31,True
PROD_0064,Leverage Back-End Deliverables,Informática,Periféricos,83.1,28.76,True
PROD_0065,Cultivate Cutting-Edge E-Tailers,Moda,Acessórios,227.85,11.17,True
PROD_0066,Re-Contextualize 24/365 Content,Informática,Notebooks,188.94,25.25,True
PROD_0067,Strategize Out-Of-The-Box Systems,Esportes,Ciclismo,69.38,25.93,True
PROD_0068,Productize Customized Initiatives,Brinquedos,Bonecas,11.06,3.79,True
PROD_0069,Incentivize Magnetic Partnerships,Alimentos,Bebidas,49.19,25.39,False
PROD_0070,Facilitate Vertical Applications,Automotivo,Óleos,728.77,9.8,True
PROD_0071,Engage Bleeding-Edge Applications,Brinquedos,Eletrônicos,135.38,17.84,True
PROD_0072,Enhance Clicks-And-Mortar Partnerships,Livros,Autoajuda,41.79,16.21,True
PROD_0073,Unleash Leading-Edge E-Services,Moda,Roupas Femininas,121.61,19.93,True
PROD_0074,Optimize Robust Supply-Chains,Livros,Técnicos,202.75,22.24,True
PROD_0075,Optimize Web-Enabled Niches,Brinquedos,Veículos,41.81,13.28,True
PROD_0076,Repurpose Holistic E-Tailers,Informática,Notebooks,396.41,26.66,True
PROD_0077,Incubate End-To-End Networks,Automotivo,Peças,163.18,24.3,True
PROD_0078,Maximize Collaborative Action-Items,Automotivo,Óleos,24.05,23.58,True
PROD_0079,Generate Collaborative E-Markets,Eletrônicos,Câmeras,251.55,13.8,True
PROD_0080,Aggregate Mission-Critical Platforms,Automotivo,Peças,55.06,1.22,True
PROD_0081,Repurpose User-Centric Convergence,Alimentos,Doces,72.61,14.82,True
PROD_0082,Brand Transparent Bandwidth,Automotivo,Som,26.6,26.96,True
PROD_0083,Cultivate Scalable Methodologies,Brinquedos,Jogos,192.05,5.79,True
PROD_0084,Visualize Mission-Critical Markets,Eletrônicos,TVs,75.29,29.48,True
PROD_0085,Strategize Cross-Platform Platforms,Brinquedos,Jogos,202.05,24.25,True
PROD_0086,Incentivize Dynamic Solutions,Brinquedos,Veículos,46.47,21.32,False
PROD_0087,Incubate Customized Channels,Casa e Decoração,Quadros,40.51,20.35,True
PROD_0088,Brand Viral Niches,Eletrônicos,Áudio,36.76,17.65,True
PROD_0089,Target Interactive Partnerships,Brinquedos,Jogos,144.78,21.65,True
PROD_0090,Grow Mission-Critical Markets,Casa e Decoração,Tapetes,39.79,12.71,True
PROD_0091,Visualize Value-Added Infrastructures,Casa e Decoração,Iluminação,70.55,25.37,True
PROD_0092,Re-Contextualize Web-Enabled Communities,Eletrônicos,Áudio,48.32,20.92,True
PROD_0093,Deploy Holistic Info-Mediaries,Livros,Infantil,152.64,23.16,False
PROD_0094,Architect Wireless Markets,Informática,Software,11.22,23.8,True
PROD_0095,Leverage Enterprise Synergies,Alimentos,Importados,121.08,2.85,True
PROD_0096,Synergize Back-End Bandwidth,Informática,Redes,718.82,1.76,True
PROD_0097,Envisioneer Cutting-Edge Schemas,Automotivo,Óleos,396.72,24.05,True
PROD_0098,Repurpose Holistic Eyeballs,Alimentos,Orgânicos,42.95,7.86,True
PROD_0099,Aggregate Distributed E-Tailers,Automotivo,Óleos,162.96,17.5,False
PROD_0100,Streamline Leading-Edge Vortals,Brinquedos,Educativos,129.11,13.37,False
PROD_0101,Streamline Scalable Applications,Moda,Roupas Femininas,524.93,0.76,True
PROD_0102,Syndicate Granular Markets,Eletrônicos,Smartphones,10.0,1.3,True
PROD_0103,Deliver Strategic Roi,Alimentos,Orgânicos,342.22,24.83,True
PROD_0104,Optimize Innovative Methodologies,Alimentos,Doces,65.3,18.27,True
PROD_0105,Cultivate Web-Enabled Interfaces,Brinquedos,Veículos,36.9,15.76,False
PROD_0106,Embrace Interactive Applications,Livros,Autoajuda,35.65,28.34,True
PROD_0107,Expedite Revolutionary E-Business,Casa e Decoração,Móveis,18.92,5.28,True
PROD_0108,Evolve Next-Generation Web Services,Brinquedos,Eletrônicos,43.08,7.81,True
PROD_0109,Benchmark Turn-Key Portals,Saúde e Beleza,Maquiagem,24.64,22.73,True
PROD_0110,Architect Turn-Key Action-Items,Casa e Decoração,Quadros,111.75,23.28,True
PROD_0111,Morph Impactful Channels,Eletrônicos,TVs,182.71,12.21,True
PROD_0112,Repurpose Seamless Bandwidth,Casa e Decoração,Móveis,66.16,28.53,True
PROD_0113,Harness Intuitive Synergies,Livros,Acadêmicos,544.39,28.15,True
PROD_0114,Target Mission-Critical Partnerships,Casa e Decoração,Móveis,46.61,0.47,True
PROD_0115,Incubate Killer Mindshare,Eletrônicos,TVs,62.14,5.25,True
PROD_0116,Morph End-To-End Convergence,Livros,Acadêmicos,51.03,24.62,True
PROD_0117,Matrix Innovative Action-Items,Informática,Software,184.63,10.12,True
PROD_0118,Disintermediate Front-End Communities,Alimentos,Bebidas,208.41,2.95,True
PROD_0119,Grow Seamless E-Business,Alimentos,Doces,163.11,23.57,True
PROD_0120,Exploit Value-Added Web Services,Automotivo,Acessórios,77.56,13.69,True
PROD_0121,Transition Seamless Web Services,Informática,Componentes,18.02,14.82,True
PROD_0122,Transform Global Portals,Informática,Componentes,61.35,5.67,True
PROD_0123,Embrace Sticky Schemas,Casa e Decoração,Móveis,530.47,19.86,True
PROD_0124,Orchestrate Real-Time Technologies,Alimentos,Orgânicos,303.65,16.58,True
PROD_0125,Expedite Best-Of-Breed Supply-Chains,Eletrônicos,TVs,128.11,6.28,True
PROD_0126,Architect Back-End Mindshare,Esportes,Fitness,56.75,10.28,True
PROD_0127,Synthesize Dot-Com Markets,Esportes,Futebol,88.56,17.95,True
PROD_0128,Evolve Cutting-Edge Niches,Livros,Autoajuda,57.05,27.75,False
PROD_0129,Integrate Clicks-And-Mortar Supply-Chains,Alimentos,Bebidas,376.78,27.62,True
PROD_0130,Revolutionize End-To-End Functionalities,Alimentos,Doces,32.89,8.71,True
PROD_0131,Morph Granular Systems,Esportes,Futebol,272.71,22.1,True
PROD_0132,Engage Cutting-Edge Schemas,Alimentos,Bebidas,47.7,23.29,False
PROD_0133,Implement One-To-One Partnerships,Casa e Decoração,Iluminação,439.27,24.28,False
PROD_0134,Matrix B2C Users,Saúde e Beleza,Perfumes,150.22,17.17,False
PROD_0135,Integrate Out-Of-The-Box Applications,Moda,Roupas Femininas,36.63,0.41,True
PROD_0136,Engage B2B E-Commerce,Informática,Redes,62.1,22.87,True
PROD_0137,Enable Revolutionary Content,Automotivo,Ferramentas,211.45,3.29,True
PROD_0138,Disintermediate Revolutionary Convergence,Livros,Técnicos,49.45,3.59,True
PROD_0139,Architect Interactive Web Services,Saúde e Beleza,Perfumes,92.44,18.21,True
