cod_pedido;cod_cliente;cod_produto;qtd;preco_unit;valor_total;data_pedido;forma_pagamento;cidade_entrega;uf_entrega;situacao;origem
708783d5-5899-f364-f71a-f8d72ee2d18c;CUST_11169;PROD_1404;18;3689.51;66411.18;2023-12-13;credit_card;Pires de Abreu;MG;shipped;parceiro_b
5374d100-8c4a-a885-3a90-e84f312ed0fb;CUST_24731;PROD_4947;17;3425.21;58228.57;2023-12-10;credit_card;Correia Grande;SP;delivered;parceiro_c
5d680fa2-42d0-0890-4c91-5ff7ef6311bd;CUST_36729;PROD_3844;17;488.68;8307.56;2023-12-02;pix;Rodrigues;RJ;delivered;parceiro_c
d92c0667-c6b3-c154-49d7-b9c90e9f41be;CUST_29920;PROD_2081;4;637.0;2548.0;2023-12-01;credit_card;Sales;RN;pending;parceiro_a
224bff79-8711-b1b7-13b0-064b0e3f3124;CUST_40185;PROD_1198;6;4261.47;25568.82;2023-12-20;credit_card;Moraes de Goiás;BA;delivered;parceiro_b
78ecef9b-b839-307b-a9d2-db7f1f718841;CUST_39620;PROD_4508;3;3518.73;10556.19;2023-12-12;credit_card;Novais;MG;delivered;parceiro_b
32a53d84-5664-e5e6-2c37-9c6570f382e8;CUST_21921;PROD_3481;3;4419.12;13257.36;2023-12-24;boleto;Siqueira do Sul;SP;shipped;parceiro_a
b0883239-7c42-b548-0256-2d37174e30d6;CUST_37239;PROD_0993;14;663.07;9282.98;2023-12-07;credit_card;Pacheco;SP;delivered;parceiro_b
bfac7492-a453-a35d-830e-c0e657e00295;CUST_16339;PROD_0823;5;57.1;285.5;2023-12-10;pix;Moraes de Minas;RS;delivered;parceiro_a
df9069c0-7d7a-9896-1781-8aa6459840f0;CUST_32009;PROD_4904;10;3314.33;33143.3;2023-12-28;pix;Borges do Amparo;RJ;delivered;parceiro_b
5dc54506-0865-1a26-7f71-8d851c7cc874;CUST_08277;PROD_3333;15;4806.42;72096.3;2023-12-13;credit_card;Cavalcante;PR;delivered;parceiro_c
627b9e29-941c-7c23-a917-2397f9f11fbe;CUST_20874;PROD_3040;9;878.64;7907.76;2023-12-09;boleto;Nascimento de Novais;ES;delivered;parceiro_b
8461a96b-7791-d198-9fb2-c6ff554aa4bd;CUST_28536;PROD_2843;5;565.21;2826.05;2023-12-04;debit_card;Fonseca Paulista;PR;delivered;parceiro_b
2b512b00-17b0-714b-e9b3-9193ce90f71a;CUST_44390;PROD_1799;16;4575.43;73206.88;2023-12-19;credit_card;Rocha de Campos;SC;delivered;parceiro_b
bf675126-4380-e205-5d30-ec9d70397405;CUST_18832;PROD_0957;6;637.53;3825.18;2023-12-11;credit_card;Leão Alegre;SP;delivered;parceiro_a
04641746-6f2f-f900-51bb-272284ae45b3;CUST_09121;PROD_1182;18;4581.0;82458.0;2023-12-17;pix;da Cruz;RJ;delivered;parceiro_b
48042cc7-f199-1891-cda2-770f66d18141;CUST_16447;PROD_3156;8;122.97;983.76;2023-12-09;pix;Novaes do Galho;MG;delivered;parceiro_a
29aa1c0a-f530-b929-d477-508a4ba65372;CUST_10992;PROD_2588;3;3641.59;10924.77;2023-12-01;debit_card;Almeida;MG;pending;parceiro_c
061d7ecf-f4d3-6154-3565-2ce13cbcf48a;CUST_15521;PROD_0344;18;4931.98;88775.64;2023-12-08;credit_card;Pereira de Rezende;PE;delivered;parceiro_b
91ea3f88-c86c-2a4a-6904-eb7e605d1afe;CUST_20856;PROD_3426;18;159.66;2873.88;2023-12-17;pix;Borges de Santos;SP;cancelled;parceiro_a
d9350504-7c48-cdd7-fbec-9e086f73409a;CUST_38430;PROD_4469;11;1592.63;17518.93;2023-12-03;boleto;Casa Grande;CE;cancelled;parceiro_b
bc0663dc-a0c0-c112-7ae6-e310771b2bf3;CUST_30143;PROD_3730;12;378.08;4536.96;2023-12-11;debit_card;Lima;RS;shipped;parceiro_a
b1e5846c-f809-8177-cf88-fef63c80376d;CUST_31191;PROD_1055;5;3934.66;19673.3;2023-12-04;credit_card;Carvalho do Norte;MG;shipped;parceiro_a
12ae1adb-2344-beb6-55b6-4b62f7f714f8;CUST_43878;PROD_1698;1;2797.97;2797.97;2023-12-17;credit_card;Araújo;MG;delivered;parceiro_c
6d737761-3478-4643-96d8-2254f205c744;CUST_28361;PROD_3972;13;1982.94;25778.22;2023-12-12;boleto;Pastor de Ribeiro;SP;delivered;parceiro_b
506cefb1-ecfe-d3a8-f71b-7bf26d3f4441;CUST_09719;PROD_2235;13;957.54;12448.02;2023-12-05;debit_card;Araújo;SP;delivered;parceiro_c
a008d7ff-e9be-9682-16f0-ff87432aa477;CUST_40588;PROD_1207;9;1227.5;11047.5;2023-12-11;pix;Martins;SP;delivered;parceiro_a
89a51bbf-1729-a200-e67e-c8d3cafa27e7;CUST_15113;PROD_2213;16;4375.83;70013.28;2023-12-16;debit_card;Sousa;SP;delivered;parceiro_c
6768f4a1-3712-488a-2949-2f3aa471e318;CUST_32503;PROD_0620;14;851.47;11920.58;2023-12-01;credit_card;Oliveira das Flores;RJ;delivered;parceiro_a
28c0c2ca-5873-98ab-2427-11474766772d;CUST_36173;PROD_4460;9;1536.2;13825.8;2023-12-02;credit_card;Peixoto;SP;delivered;parceiro_b
5f953263-27e2-b432-24da-8bd506852e01;CUST_05879;PROD_2786;13;1900.74;24709.62;2023-12-01;pix;Pimenta;RJ;shipped;parceiro_c
